Field Name	Content	UC_ID	Target_Range
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [1]
  profile_picture_url: String [1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

class Category <<Entity>> {
  category_id: Integer [1]
  category_name: String [1]
}

class Transaction <<Entity>> {
  transaction_id: Integer [1]
  account_id: Integer [1]
  transaction_date: Date [1]
  type: TransactionType [1]
  item_description: String [1]
  shop_name: String [1]
  amount: Decimal [1]
  payment_method: String [1]
  status: TransactionStatus [1]
  receipt_id: Integer [1]
  category_id: Integer [0..1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}
note right of AccountType
  Credit_Card maps to database literal 'Credit Card'.
end note

enum TransactionType {
  Revenue
  Expense
}

enum TransactionStatus {
  Complete
  Pending
  Failed
}

class CreateTransactionDto <<DTO>> {
  accountId: Integer [1]
  transactionDate: Date [1]
  type: TransactionType [1]
  itemDescription: String [1]
  category_id: Integer [0..1]
  shopName: String [1]
  amount: Decimal [1]
  paymentMethod: String [1]
  status: TransactionStatus [0..1]
}

class CreateTransactionDataDto <<DTO>> {
  transactionId: Integer [1]
  accountId: Integer [1]
  transactionDate: Date [1]
  type: TransactionType [1]
  itemDescription: String [1]
  shopName: String [1]
  amount: Decimal [1]
  paymentMethod: String [1]
  status: TransactionStatus [1]
  receiptId: Integer [0..1]
  category_id: Integer [0..1]
}

class CreateTransactionResponseDto <<DTO>> {
  message: String [1]
  data: CreateTransactionDataDto [1]
}

class TransactionService <<Service>> {
  create(user_id: Integer, dto: CreateTransactionDto): CreateTransactionResponseDto
}

User ""1"" -- ""0..*"" Account : owns
Account ""1"" -- ""0..*"" Transaction : contains
Category ""0..1"" -- ""0..*"" Transaction : classifies

TransactionService ..> CreateTransactionDto
TransactionService ..> CreateTransactionResponseDto
CreateTransactionResponseDto --> CreateTransactionDataDto
CreateTransactionDataDto ..> Transaction : maps from

@enduml
~~~"	UC-04	A64:B82
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-TXN-08: Required transaction data, date horizon, and cash payment threshold
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

pre BR_TXN_08_RequiredFields:
  not dto.accountId.oclIsUndefined() and
  not dto.transactionDate.oclIsUndefined() and
  not dto.type.oclIsUndefined() and
  not dto.itemDescription.oclIsUndefined() and
  trim(dto.itemDescription).size() > 0 and
  not dto.shopName.oclIsUndefined() and
  trim(dto.shopName).size() > 0 and
  not dto.paymentMethod.oclIsUndefined() and
  trim(dto.paymentMethod).size() > 0 and
  not dto.amount.oclIsUndefined() and
  dto.amount >= 0.01

pre BR_TXN_08_DateWindow:
  dto.transactionDate <= currentDate() + 1 and
  dto.transactionDate >= currentDate() - 365

pre BR_TXN_08_CashLimit:
  dto.paymentMethod = 'Cash' implies dto.amount <= 50000000

BR-TXN-09: Account type eligibility, allowed transaction types, and default status
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

pre BR_TXN_09_EligibleAccountType:
  Account.allInstances()->exists(a |
    a.account_id = dto.accountId and
    Set{AccountType::Checking, AccountType::Savings, AccountType::Credit_Card}->includes(a.account_type)
  )

pre BR_TXN_09_AllowedType:
  dto.type = TransactionType::Revenue or
  dto.type = TransactionType::Expense

pre BR_TXN_09_AllowedStatus:
  dto.status.oclIsUndefined() or
  Set{TransactionStatus::Complete,
      TransactionStatus::Pending,
      TransactionStatus::Failed}->includes(dto.status)

post BR_TXN_09_DefaultStatus:
  (dto.status.oclIsUndefined() implies
    result.data.status = TransactionStatus::Complete) and
  (not dto.status.oclIsUndefined() implies
    result.data.status = dto.status)

BR-TXN-10: Optional category must be valid when supplied
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

pre BR_TXN_10_CategoryOptionalAndValid:
  dto.category_id.oclIsUndefined() or
  Category.allInstances()->exists(c |
    c.category_id = dto.category_id
  )

post BR_TXN_10_CategoryStored:
  (dto.category_id.oclIsUndefined() implies
    result.data.category_id.oclIsUndefined()) and
  (not dto.category_id.oclIsUndefined() implies
    result.data.category_id = dto.category_id)

BR-TXN-11: Account ownership scope
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

pre BR_TXN_11_AccountOwnedByUser:
  Account.allInstances()->exists(a |
    a.account_id = dto.accountId and
    a.user_id = user_id
  )

BR-TXN-12: Sufficient balance for Expense with Savings maintaining reserve
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

pre BR_TXN_12_SufficientExpenseBalance:
  dto.type = TransactionType::Expense implies
    Account.allInstances()->exists(a |
      a.account_id = dto.accountId and
      a.user_id = user_id and
      ((a.account_type = AccountType::Savings and a.balance - dto.amount >= 50000) or
       (a.account_type <> AccountType::Savings and a.balance >= dto.amount))
    )

BR-TXN-13: Status-dependent account balance adjustment and user total balance sync
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

post BR_TXN_13_AccountBalanceAdjusted:
  Account.allInstances()->exists(a |
    a.account_id = dto.accountId and
    ((result.data.status = TransactionStatus::Complete and dto.type = TransactionType::Revenue and a.balance = a.balance@pre + dto.amount) or
     (result.data.status = TransactionStatus::Complete and dto.type = TransactionType::Expense and a.balance = a.balance@pre - dto.amount) or
     (result.data.status <> TransactionStatus::Complete and a.balance = a.balance@pre))
  )

post BR_TXN_13_UserTotalBalanceSynced:
  User.allInstances()->exists(u |
    u.user_id = user_id and
    ((result.data.status = TransactionStatus::Complete and dto.type = TransactionType::Revenue and u.total_balance = u.total_balance@pre + dto.amount) or
     (result.data.status = TransactionStatus::Complete and dto.type = TransactionType::Expense and u.total_balance = u.total_balance@pre - dto.amount) or
     (result.data.status <> TransactionStatus::Complete and u.total_balance = u.total_balance@pre))
  )

BR-TXN-14: Created transaction maps to the request and database
context TransactionService::create(
  user_id : Integer,
  dto : CreateTransactionDto
) : CreateTransactionResponseDto

post BR_TXN_14_OneNewTransaction:
  Transaction.allInstances()->size() =
    Transaction.allInstances()@pre->size() + 1

post BR_TXN_14_PersistedTransaction:
  Transaction.allInstances()->exists(t |
    t.transaction_id = result.data.transactionId and
    t.account_id = dto.accountId and
    t.transaction_date = dto.transactionDate and
    t.type = dto.type and
    t.item_description = trim(dto.itemDescription) and
    t.shop_name = trim(dto.shopName) and
    t.amount = dto.amount and
    t.payment_method = trim(dto.paymentMethod) and
    t.status = result.data.status and
    ((dto.category_id.oclIsUndefined() and
      t.category_id.oclIsUndefined()) or
     (not dto.category_id.oclIsUndefined() and
      t.category_id = dto.category_id))
  )

BR-TXN-15: Atomic transaction creation, concurrency safety, and rollback
Technical constraints:
- The Transactions insert, Accounts.balance update, and Users.total_balance sync shall execute inside a single atomic database transaction.
- If any validation, persistence, balance-update, or synchronization step fails before commit, the operation shall roll back and leave all tables unchanged by this request.
- Database locking or isolation shall prevent race conditions during concurrent balance updates on the same account.
- shopName maps to Transactions.shop_name and paymentMethod maps to Transactions.payment_method; both are mandatory and shall be trimmed non-empty strings.
- category_id maps to Transactions.category_id and remains optional/nullable.
~~~"	UC-04	A64:B82
		UC-04	A64:B82
Use Case ID	UC-05	UC-05	A83:B105
Use Case Name	View Bank Accounts	UC-05	A83:B105
Description	As an authenticated user, I want to view the bank accounts linked to my user identifier.	UC-05	A83:B105
Actor(s)	Authenticated User	UC-05	A83:B105
Priority	Not Specified	UC-05	A83:B105
Trigger	The user opens the Accounts page.	UC-05	A83:B105
Pre-Condition(s)	PRE-1: The user is authenticated.	UC-05	A83:B105
Post-Condition(s)	"POST-1: The frontend displays accounts owned by the authenticated user.
POST-2: Accounts are returned in ascending accountId order.
POST-3: If no accounts exist, the page displays an empty state and an Add Account action."	UC-05	A83:B105
Basic Flow	"1. The user opens /accounts.
2. The frontend sends GET /api/v1/accounts.
3. JwtAuthGuard authenticates the request and supplies userId.
4. AccountService queries accounts where account.userId equals userId, selects the list fields, and orders by accountId ascending.
5. The backend queries and returns only the last four digits of the account number (account_number_last_4) for each account.
6. The backend returns success, message, and a data object containing user_id and accounts.
7. The frontend displays account cards containing bank name, account type, the last four account digits prefixed with exactly four asterisks (e.g., **** 5667) regardless of the original account number length, and balance."	UC-05	A83:B105
Alternative Flow	"AF-1: No linked accounts
4a. The query returns an empty array.
6a. The frontend displays its no-account message and an action that navigates to /accounts/add."	UC-05	A83:B105
Exception Flow	"EF-1: Unauthorized request
3a. HTTP 401 is handled by the Axios interceptor, which clears local authentication data and redirects to /login.

EF-2: Retrieval failure
4a. The page displays the returned error message or a general loading error."	UC-05	A83:B105
Related UI	AccountListPage; AccountCard; route /accounts	UC-05	A83:B105
Related API IDs	API-ACCOUNT-LIST	UC-05	A83:B105
Notes	Not specified	UC-05	A83:B105
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [1]
  profile_picture_url: String [1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}
note right of AccountType
  Credit_Card maps to database literal 'Credit Card'.
end note

class AccountDto <<DTO>> {
  id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

class AccountListDataDto <<DTO>> {
  user_id: Integer [1]
  accounts: AccountDto [0..*]
}

class AccountListResponseDto <<DTO>> {
  success: Boolean [1]
  message: String [1]
  data: AccountListDataDto [1]
}

class AccountService <<Service>> {
  findAllByUserId(user_id: Integer): AccountListResponseDto
}

User ""1"" -- ""0..*"" Account : owns

AccountService ..> AccountListResponseDto
AccountListResponseDto --> AccountListDataDto
AccountListDataDto ""1"" -- ""0..*"" AccountDto : contains
AccountDto ..> Account : maps from

@enduml
~~~"	UC-05	A83:B105
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-ACC-01: Account ownership scope
context AccountService::findAllByUserId(
  user_id : Integer
) : AccountListResponseDto

pre BR_ACC_01_UserDefined:
  not user_id.oclIsUndefined()

post BR_ACC_01_OwnedAccountsOnly:
  result.success implies
    result.data.accounts->forAll(dto |
      Account.allInstances()->exists(a |
        a.account_id = dto.id and
        a.user_id = user_id
      )
    )

BR-ACC-02: Ordering
context AccountService::findAllByUserId(
  user_id : Integer
) : AccountListResponseDto

post BR_ACC_02_OrderedByAccountIdAsc:
  result.success implies
    result.data.accounts->size() <= 1 or
    Sequence{1..result.data.accounts->size()-1}->forAll(i |
      result.data.accounts->at(i).id < result.data.accounts->at(i + 1).id
    )

BR-ACC-03: Response rows map to persisted Accounts
context AccountService::findAllByUserId(
  user_id : Integer
) : AccountListResponseDto

post BR_ACC_03_ResponseBackedByAccount:
  result.success implies
    result.data.accounts->forAll(dto |
      Account.allInstances()->exists(a |
        a.account_id = dto.id and
        a.bank_name = dto.bank_name and
        a.account_type = dto.account_type and
        a.branch_name = dto.branch_name and
        a.account_number_last_4 = dto.account_number_last_4 and
        a.balance = dto.balance
      )
    )

BR-ACC-04: Account number exposure restriction
context AccountService::findAllByUserId(
  user_id : Integer
) : AccountListResponseDto
post BR_ACC_04_NoFullAccountNumber:
  result.success implies
    result.data.accounts->forAll(dto |
      dto.account_number_full.oclIsUndefined()
    )

Technical constraints:
- The backend shall only query the necessary columns to optimize performance.
- The backend shall not return the full account number (account_number_full) in the list response to prevent exposing sensitive data over the network.
- The backend shall return only the stored account_number_last_4.
- The frontend shall mask the account number by prefixing these 4 digits with exactly four asterisks (e.g., """"**** 1234""""), regardless of the original account number's length.""

BR-ACC-05: Empty account result
context AccountService::findAllByUserId(
  user_id : Integer
) : AccountListResponseDto
post BR_ACC_05_EmptyResultConsistency:
  not Account.allInstances()->exists(a | a.user_id = user_id)
  implies
    result.success and
    result.data.accounts->isEmpty()

BR-ACC-06: Viewing accounts is read-only
context AccountService::findAllByUserId(
  user_id : Integer
) : AccountListResponseDto

post BR_ACC_06_AccountIdentityUnchanged:
  Account.allInstances()->collect(a | a.account_id)->asSet() =
  Account.allInstances()@pre->collect(a | a.account_id)->asSet()

post BR_ACC_06_AccountDataUnchanged:
  Account.allInstances()->forAll(a |
    Account.allInstances()@pre->exists(old |
      old.account_id = a.account_id and
      old.user_id = a.user_id and
      old.bank_name = a.bank_name and
      old.account_type = a.account_type and
      old.branch_name = a.branch_name and
      old.account_number_full = a.account_number_full and
      old.account_number_last_4 = a.account_number_last_4 and
      old.balance = a.balance
    )
  )

Technical constraint:
- Listing accounts shall not create, update, or delete any Account or Transaction records.
~~~"	UC-05	A83:B105
		UC-05	A83:B105
Use Case ID	UC-06	UC-06	A106:B130
Use Case Name	Add a Bank Account	UC-06	A106:B130
Description	As an authenticated user, I want to add a bank account with its current balance.	UC-06	A106:B130
Actor(s)	Authenticated User	UC-06	A106:B130
Priority	Not Specified	UC-06	A106:B130
Trigger	The user selects an Add Account action.	UC-06	A106:B130
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: The Add Account route /accounts/add is accessible."	UC-06	A106:B130
Post-Condition(s)	"POST-1: On success, an account row is stored with userId from the JWT and account_number_last_4 derived from account_number_full.
POST-2: The frontend shows a success toast and navigates to /accounts after 1.5 seconds.
POST-3: On failure, the account is not added by the request."	UC-06	A106:B130
Basic Flow	"1. The user opens /accounts/add.
2. The frontend displays AddAccountForm with accountType defaulted to Checking.
3. The user enters bank_name, account_type, optional branch_name, account_number_full, and balance.
4. The user selects Add Account.
5. The frontend requires bank_name and account_number_full and requires balance to be numeric and non-negative.
6. The frontend sends POST /api/v1/accounts.
7. The backend ValidationPipe validates CreateAccountDto.
8. AccountService checks for another account owned by the same user with the same account_number_full.
9. AccountService derives the final four characters, creates the account using userId from the JWT, and stores it.
10. The frontend shows a success toast and navigates to /accounts after 1.5 seconds."	UC-06	A106:B130
Alternative Flow	"AF-1: Optional branch omitted
3a. The user leaves branch_name empty.
6a. The frontend omits branch_name and the backend stores it as undefined/null.

AF-2: Cancel
4a. The user selects Cancel and returns to /accounts without submitting."	UC-06	A106:B130
Exception Flow	"EF-1: Client-side validation failure
5a. The form displays field errors and does not call the API.

EF-2: Duplicate account number for the same user
8a. The backend returns HTTP 409 and the frontend displays the duplicate-account message.

EF-3: Backend validation failure
7a. The frontend maps returned validation messages to fields when possible.

EF-4: Storage failure
9a. The backend returns HTTP 500 and the frontend displays its create-account failure message."	UC-06	A106:B130
Related UI	AddAccountPage; AddAccountForm; route /accounts/add	UC-06	A106:B130
Related API IDs	API-ACCOUNT-CREATE	UC-06	A106:B130
Notes	Not specified	UC-06	A106:B130
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [1]
  profile_picture_url: String [1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}
note right of AccountType
  Credit_Card maps to database literal 'Credit Card'.
end note

class CreateAccountDto <<DTO>> {
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  balance: Decimal [1]
}

class AccountResponseDto <<DTO>> {
  id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

class AccountService <<Service>> {
  create(userId: Integer, dto: CreateAccountDto): AccountResponseDto
}

User ""1"" -- ""0..*"" Account : owns
AccountService ..> AccountResponseDto
AccountService ..> CreateAccountDto
CreateAccountDto ..> Account : mapped to
AccountResponseDto ..> Account : mapped from

@enduml
~~~"	UC-06	A106:B130
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-ACC-07: Allowed account type
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

pre BR_ACC_07_ValidType:
  Set{'Checking', 'Credit Card', 'Savings', 'Investment', 'Loan'}->includes(dto.account_type)

BR-ACC-08: Required account text fields
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

pre BR_ACC_08_RequiredText:
  not dto.bank_name.oclIsUndefined() and dto.bank_name.trim().size() > 0 and
  not dto.account_number_full.oclIsUndefined() and dto.account_number_full.trim().size() > 0

BR-ACC-09: Numeric non-negative account balance
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

pre BR_ACC_09_IsNumeric:
  dto.balance.oclIsTypeOf(Real) or dto.balance.oclIsTypeOf(Integer)

pre BR_ACC_09_NonNegativeBalance:
  not dto.balance.oclIsUndefined() and dto.balance >= 0
Technical constraint:
- The balance must be a valid numeric type (not a string), and must be greater than or equal to zero.

BR-ACC-10: Unique account number per owner
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

pre BR_ACC_10_UniqueAccount:
  not Account.allInstances()->exists(a | 
    a.user_id = userId and 
    a.account_number_full = dto.account_number_full
  )

BR-ACC-11: Derive final four account characters
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

post BR_ACC_11_DeriveLast4:
  let newAcc = Account.allInstances()->any(a | a.account_id = result.id) in
  newAcc.account_number_last_4 = dto.account_number_full.substring(dto.account_number_full.size() - 3, dto.account_number_full.size())

Technical constraint:
- The backend derives account_number_last_4 by taking the exact last 4 characters of the submitted account_number_full (e.g., via .slice(-4)).

BR-ACC-12: Account creation persistence mapping
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

post BR_ACC_12_StorageMapping:
  Account.allInstances()->exists(a |
    a.account_id = result.id and
    a.user_id = userId and
    a.bank_name = dto.bank_name and
    a.account_type = dto.account_type and
    a.branch_name = dto.branch_name and
    a.account_number_full = dto.account_number_full and
    a.balance = dto.balance
  )

post BR_ACC_12_ResponseMapping:
  result.id = Account.allInstances()->any(a | a.account_number_full = dto.account_number_full).account_id

BR-ACC-13: Account number format and length
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

pre BR_ACC_13_NumericCharactersOnly:
  not dto.account_number_full.oclIsUndefined() and 
  matches(dto.account_number_full, '^[0-9]+$')
pre BR_ACC_13_LengthConstraints:
  dto.account_number_full.size() >= 8 and dto.account_number_full.size() <= 34

Technical constraint:
- account_number_full must contain only numeric digits.
- The length must be between 8 and 34 characters (to safely derive the last 4 digits and reflect real-world bank account numbers).

BR-ACC-14: Optional branch name
context AccountService::create(
  userId : Integer,
  dto : CreateAccountDto
) : AccountResponseDto

pre BR_ACC_14_BranchNameOptional:
  dto.branch_name.oclIsUndefined() or dto.branch_name.oclIsTypeOf(String)

Technical constraint:
- The branch_name field is optional. If omitted, it shall be processed and stored as null or undefined.
~~~"	UC-06	A106:B130
		UC-06	A106:B130
Use Case ID	UC-07	UC-07	A131:B152
Use Case Name	View Bank Account Details	UC-07	A131:B152
Description	As an authenticated account owner, I want to view one account and its five most recent transactions.	UC-07	A131:B152
Actor(s)	Authenticated User	UC-07	A131:B152
Priority	Not Specified	UC-07	A131:B152
Trigger	The user selects an account card.	UC-07	A131:B152
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: The path contains an account identifier."	UC-07	A131:B152
Post-Condition(s)	"POST-1: On success, the page displays account information and at most five recent transactions.
POST-2: Expense amounts in recent_transactions are returned as negative values.
POST-3: Unauthorized account data is not returned."	UC-07	A131:B152
Basic Flow	"1. The user selects an account card and opens /accounts/:id.
2. AccountDetailPage requests GET /api/v1/accounts/:id.
3. The controller validates authentication and parses id as an integer.
4. AccountService loads the account by accountId.
5. AccountService verifies account.userId equals the authenticated userId.
6. AccountService loads at most five transactions for the account, ordered by transactionDate descending.
7. AccountService maps transaction dates to YYYY-MM-DD and makes Expense amounts negative.
8. The frontend displays bank name, type, branch, full account number, balance, and recent transactions."	UC-07	A131:B152
Alternative Flow	"AF-1: No recent transactions
6a. The query returns an empty array.
8a. The account information remains visible with an empty recent-transactions section."	UC-07	A131:B152
Exception Flow	"EF-1: Invalid account ID
3a. The controller returns HTTP 400.

EF-2: Account not found
4a. The backend returns HTTP 404.

EF-3: Account belongs to another user
5a. The backend returns HTTP 403.

EF-4: Retrieval failure
6a. The backend returns HTTP 500 and the frontend displays its error state."	UC-07	A131:B152
Related UI	AccountDetailPage; route /accounts/:id	UC-07	A131:B152
Related API IDs	API-ACCOUNT-DETAIL	UC-07	A131:B152
Notes	Not specified	UC-07	A131:B152
UML Model	"~~~plantuml
@startuml

class User <<Entity>> {
  user_id: Integer [1]
  full_name: String [1]
  email: String [1]
  username: String [1]
  password: String [1]
  phone_number: String [0..1]
  profile_picture_url: String [0..1]
  total_balance: Decimal [1]
}

class Account <<Entity>> {
  account_id: Integer [1]
  user_id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  account_number_last_4: String [1]
  balance: Decimal [1]
}

enum AccountType {
  Checking
  Credit_Card
  Savings
  Investment
  Loan
}

class Transaction <<Entity>> {
  transaction_id: Integer [1]
  account_id: Integer [1]
  category_id: Integer [0..1]
  transaction_date: Date [1]
  type: TransactionTypeEnum [1]
  item_description: String [1]
  shop_name: String [0..1]
  amount: Decimal [1]
  payment_method: String [0..1]
  status: TransactionStatus [1]
  receipt_id: String [0..1]
}

enum TransactionTypeEnum {
  Revenue
  Expense
}

enum TransactionStatus {
  Complete
  Pending
  Failed
}

class TransactionDto <<DTO>> {
  date: String [1]
  amount: Decimal [1]
  description: String [1]
  status: TransactionStatus [1]
  receipt_id: String [0..1]
  type: TransactionTypeEnum [1]
}

class AccountDetailResponseDto <<DTO>> {
  id: Integer [1]
  bank_name: String [1]
  account_type: AccountType [1]
  branch_name: String [0..1]
  account_number_full: String [1]
  balance: Decimal [1]
  recent_transactions: TransactionDto [0..5]
}

class AccountService <<Service>> {
  findOneWithTransactions(accountId: Integer, userId: Integer): AccountDetailResponseDto
}

User ""1"" -- ""0..*"" Account : owns
Account ""1"" -- ""0..*"" Transaction : has
AccountService ..> AccountDetailResponseDto
AccountDetailResponseDto *-- ""0..5"" TransactionDto : contains
AccountDetailResponseDto ..> Account : maps from
TransactionDto ..> Transaction : maps from

@enduml
~~~"	UC-07	A131:B152
Business Rules	"The following rules are authoritative for Prompt E. OCL is preserved where supplied; technical or non-OCL constraints remain authoritative natural-language requirements.

~~~text
BR-ACC-15: Account existence and ownership
context AccountService::findOneWithTransactions(
  accountId : Integer,
  userId : Integer
) : AccountDetailResponseDto
pre BR_ACC_15_AccountMustBeOwned:
  Account.allInstances()->exists(a | 
    a.account_id = accountId and 
    a.user_id = userId
  )

BR-ACC-16: Five most recent account transactions
context AccountService::findOneWithTransactions(
  accountId : Integer,
  userId : Integer
) : AccountDetailResponseDto
post BR_ACC_16_MaxFiveRecentTransactions:
  result.recent_transactions->size() <= 5
post BR_ACC_16_OrderedByDateDescending:
  result.recent_transactions->size() <= 1 or
  Sequence{1..result.recent_transactions->size()-1}->forAll(i |
    result.recent_transactions->at(i).date >= result.recent_transactions->at(i + 1).date
  )
Technical constraint:
- The backend shall return at most five transactions ordered by transaction_date descending.

BR-ACC-17: Response rows map to persisted data with signed amounts
context AccountService::findOneWithTransactions(
  accountId : Integer,
  userId : Integer
) : AccountDetailResponseDto
post BR_ACC_17_ResponseBackedByAccount:
  Account.allInstances()->exists(a |
    a.account_id = result.id and
    a.user_id = userId and
    a.bank_name = result.bank_name and
    a.account_type = result.account_type and
    (a.branch_name.oclIsUndefined() implies result.branch_name.oclIsUndefined()) and
    (not a.branch_name.oclIsUndefined() implies a.branch_name = result.branch_name) and
    a.account_number_full = result.account_number_full and
    a.balance = result.balance
  )
post BR_ACC_17_ResponseBackedByTransaction:
  result.recent_transactions->forAll(tDto |
    Transaction.allInstances()->exists(t |
      t.account_id = accountId and
      t.item_description = tDto.description and
      ((t.type = TransactionTypeEnum::Expense and tDto.amount = -(t.amount)) or
       (t.type = TransactionTypeEnum::Revenue and tDto.amount = t.amount)) and
      t.status = tDto.status and
      (t.receipt_id.oclIsUndefined() implies tDto.receipt_id.oclIsUndefined()) and
      (not t.receipt_id.oclIsUndefined() implies t.receipt_id = tDto.receipt_id) and
      t.type = tDto.type and
      tDto.date = toIsoDate(t.transaction_date)
    )
  )
Technical constraint:
- In the account-detail mapping, Expense amounts are negated (returned as negative) and Revenue amounts remain positive.
- Unused persisted fields in Transaction (e.g., shop_name, payment_method, category_id) are intentionally excluded from the returned TransactionDto.

post BR_ACC_18_AccountIdentityUnchanged:
  Account.allInstances()->collect(a | a.account_id)->asSet() =
  Account.allInstances()@pre->collect(a | a.account_id)->asSet()
post BR_ACC_18_AccountDataUnchanged:
  Account.allInstances()->forAll(a |
    Account.allInstances()@pre->exists(old |
      old.account_id = a.account_id and
      old.user_id = a.user_id and
      old.bank_name = a.bank_name and
      old.account_type = a.account_type and
      old.branch_name = a.branch_name and
      old.account_number_full = a.account_number_full and
      old.account_number_last_4 = a.account_number_last_4 and
      old.balance = a.balance
    )
  )
post BR_ACC_18_TransactionIdentityUnchanged:
  Transaction.allInstances()->collect(t | t.transaction_id)->asSet() =
  Transaction.allInstances()@pre->collect(t | t.transaction_id)->asSet()
post BR_ACC_18_TransactionDataUnchanged:
  Transaction.allInstances()->forAll(t |
    Transaction.allInstances()@pre->exists(old |
      old.transaction_id = t.transaction_id and
      old.account_id = t.account_id and
      old.category_id = t.category_id and
      old.transaction_date = t.transaction_date and
      old.type = t.type and
      old.item_description = t.item_description and
      old.shop_name = t.shop_name and
      old.amount = t.amount and
      old.payment_method = t.payment_method and
      old.status = t.status and
      old.receipt_id = t.receipt_id
    )
  )
Technical constraint:
- Viewing account details shall not create, update, or delete any Account or Transaction records.
~~~"	UC-07	A131:B152
		UC-07	A131:B152
Use Case ID	Use Case ID	UC-08	A153:B199
Use Case Name	Edit a Bank Account	UC-08	A153:B199
Description	As an authenticated account owner, I want to edit an account's bank name, type, branch, full account number, and balance.	UC-08	A153:B199
Actor(s)	Authenticated User	UC-08	A153:B199
Priority	Not Specified	UC-08	A153:B199
Trigger	The user selects Edit on an account detail page.	UC-08	A153:B199
Pre-Condition(s)	"PRE-1: The user is authenticated.
PRE-2: The account exists and is owned by the authenticated user.
PRE-3: Account details have been loaded."	UC-08	A153:B199
Post-Condition(s)	"POST-1: On success, the account fields are overwritten with the submitted values.
POST-2: account_number_last_4 is implicitly derived by the backend from the submitted account_number_full.
POST-3: On success, the system displays a success toast notification (""Update successful""), waits 1500 ms, closes the edit form, and reloads the account details to reflect the updated data.
POST-4: On failure, the stored account remains unchanged by the failed request."	UC-08	A153:B199
